UNDERLYING                          ,SYMBOL    ,Apr-12,May-12,Jun-12,Sep-12,Dec-12,Mar-13,Jun-13,Dec-13,Jun-14,Dec-14,Jun-15,Dec-15,Jun-16,Dec-16,           
MRF LTD                             ,MRF       ,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MRPL                                ,MRPL      ,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
MAHANAGAR TELEPHONE NIGAM           ,MTNL      ,8000,8000,8000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NAGARJUNA OIL REFINERY              ,NAGAROIL  ,9000,9000,9000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NCC LIMITED                         ,NCC       ,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NHPC LTD                            ,NHPC      ,9000,9000,9000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NMDC LTD.                           ,NMDC      ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
NTPC LTD                            ,NTPC      ,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ORACLE FIN SERV SOFT LTD.           ,OFSS      ,125,125,125,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL INDIA LTD                       ,OIL       ,625,625,625,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OIL AND NATURAL GAS CORP.           ,ONGC      ,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ONMOBILE GLOBAL LTD.                ,ONMOBILE  ,4000,4000,4000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
OPTO CIRCUITS (I) LTD.              ,OPTOCIRCUI,1300,1300,1300,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ORCHID CHEM & PHARMA LTD            ,ORCHIDCHEM,2000,2000,2000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
ORIENTAL BANK OF COMMERCE           ,ORIENTBANK,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
PANTALOON RETAIL (I) LTD            ,PANTALOONR,1000,1000,1000,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           ,           
